GLYP	HT1	0.33	0.671612	HC
GLYP	HT2	0.33	0.671612	HC
GLYP	HT3	0.33	0.671612	HC
GLYP	CA	0.13	2.326770	CT2
GLYP	HA1	0.09	1.705680	HB2
GLYP	HA2	0.09	1.705680	HB2
PROP	N	-0.07	2.178450	NP
PROP	HN1	0.24	0.671612	HC
PROP	HN2	0.24	0.671612	HC
PROP	CD	0.16	2.479725	CP3
PROP	HD1	0.09	1.705680	HA2
PROP	HD2	0.09	1.705680	HA2
PROP	CA	0.16	2.572425	CP1
PROP	HA	0.09	1.687140	HB1
ACE	CAY	-0.27	2.354580	CT3
ACE	HY1	0.09	1.705680	HA3
ACE	HY2	0.09	1.705680	HA3
ACE	HY3	0.09	1.705680	HA3
ACE	CY	0.51	2.317500	C
ACE	OY	-0.51	2.039400	O
ACED	CAY	-0.27	2.354580	CT3
ACED	HY1	0.09	1.705680	HA3
ACED	HY2	0.09	1.705680	HA3
ACED	HY3	0.09	1.705680	HA3
ACED	CY	0.51	2.317500	C
ACED	OY	-0.51	2.039400	O
ACP	CAY	-0.27	2.354580	CT3
ACP	HY1	0.09	1.705680	HA3
ACP	HY2	0.09	1.705680	HA3
ACP	HY3	0.09	1.705680	HA3
ACP	CY	0.51	2.317500	C
ACP	OY	-0.51	2.039400	O
ACPD	CAY	-0.27	2.354580	CT3
ACPD	HY1	0.09	1.705680	HA3
ACPD	HY2	0.09	1.705680	HA3
ACPD	HY3	0.09	1.705680	HA3
ACPD	CY	0.51	2.317500	C
ACPD	OY	-0.51	2.039400	O
NNEU	N	-0.96	2.178450	NH2
NNEU	HT1	0.34	0.671612	H
NNEU	HT2	0.34	0.671612	H
NNEU	CA	0.19	2.317500	CT1
NNEU	HA	0.09	1.687140	HB1
NGNE	N	-0.96	2.178450	NH2
NGNE	HT1	0.34	0.671612	H
NGNE	HT2	0.34	0.671612	H
NGNE	CA	0.10	2.326770	CT2
NGNE	HA1	0.09	1.705680	HB2
NGNE	HA2	0.09	1.705680	HB2
CTER	C	0.34	2.317500	CC
CTER	OT1	-0.67	2.039400	OC
CTER	OT2	-0.67	2.039400	OC
CNEU	C	0.72	2.317500	CD
CNEU	OT1	-0.55	2.039400	OB
CNEU	OT2	-0.61	2.104290	OH1
CNEU	HT2	0.44	0.671612	H
CTP	C	0.72	2.317500	CD
CTP	OT1	-0.55	2.039400	OB
CTP	OT2	-0.61	2.104290	OH1
CTP	HT2	0.44	0.671612	H
CT1	N	-0.47	2.178450	NH1
CT1	HN	0.31	0.671612	H
CT1	CA	0.17	2.317500	CT1
CT1	HA	0.09	1.687140	HB1
CT1	C	0.63	2.317500	CD
CT1	OT1	-0.52	2.039400	OB
CT1	OT2	-0.34	2.104290	OS
CT1	CT	-0.14	2.354580	CT3
CT1	HT1	0.09	1.705680	HA3
CT1	HT2	0.09	1.705680	HA3
CT1	HT3	0.09	1.705680	HA3
CT2	C	0.55	2.317500	CC
CT2	O	-0.55	2.039400	O
CT2	NT	-0.62	2.178450	NH2
CT2	HT1	0.32	0.671612	H
CT2	HT2	0.30	0.671612	H
CT3	C	0.51	2.317500	C
CT3	O	-0.51	2.039400	O
CT3	NT	-0.47	2.178450	NH1
CT3	HNT	0.31	0.671612	H
CT3	CAT	-0.11	2.354580	CT3
CT3	HT1	0.09	1.705680	HA3
CT3	HT2	0.09	1.705680	HA3
CT3	HT3	0.09	1.705680	HA3
ASPP	CB	-0.21	2.326770	CT2
ASPP	HB1	0.09	1.705680	HA2
ASPP	HB2	0.09	1.705680	HA2
ASPP	CG	0.75	2.317500	CD
ASPP	OD1	-0.55	2.039400	OB
ASPP	OD2	-0.61	2.104290	OH1
ASPP	HD2	0.44	0.671612	H
GLUP	CG	-0.21	2.326770	CT2
GLUP	HG1	0.09	1.705680	HA2
GLUP	HG2	0.09	1.705680	HA2
GLUP	CD	0.75	2.317500	CD
GLUP	OE1	-0.55	2.039400	OB
GLUP	OE2	-0.61	2.104290	OH1
GLUP	HE2	0.44	0.671612	H
LSN	CE	0.13	2.326770	CT2
LSN	HE1	0.07	1.705680	HA2
LSN	HE2	0.07	1.705680	HA2
LSN	NZ	-0.96	2.178450	NH2
LSN	HZ1	0.34	0.671612	HC
LSN	HZ2	0.34	0.671612	HC
CYM	N	-0.47	2.178450	NH1
CYM	HN	0.31	0.671612	H
CYM	CA	0.07	2.317500	CT1
CYM	HA	0.09	1.687140	HB1
